origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Unknown,True,Lenovo,False,ThinkPad T14 Gen 3,ThinkPad T14 Gen 3,32.0,512.0,13.95,32.0,512.0,ryzen 5,,32.0,512.0,13.95,False,False,False,False,False,False,AMD,Mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Other,False,True,9500000.0
Hàn Quốc,False,Samsung,False,N-Series,N-Series,8.0,127.0,15.95,,,Unknown,,8.0,127.0,15.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Other,Other,True,True,4000000.0
Unknown,True,Lenovo,False,Thinkpad e14,Thinkpad e14,8.0,256.0,13.95,,,ryzen7,,8.0,256.0,13.95,False,False,False,False,False,False,AMD,Upper-mid,False,Integrated - AMD Radeon,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Other,False,True,6500000.0
Việt Nam,False,HP,False,Victus,Victus,16.0,512.0,15.95,6.0,,Unknown,,16.0,512.0,15.95,False,False,False,False,False,False,AMD,Upper-mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Mới,False,False,HP,Other,False,True,17500000.0
Unknown,True,Apple,False,MacBook Air,MacBook Air,,512.0,,,512.0,Unknown,,,512.0,,True,False,True,False,False,True,Unknown,Missing,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Air,False,False,7500000.0
Việt Nam,False,Dell,False,Latitude,Latitude,4.0,500.0,13.95,,,Unknown,,4.0,500.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,0.0,Expired,False,HDD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Latitude,False,False,990000.0
Unknown,True,ASUS,False,TUF Gaming F15,TUF Gaming F15,16.0,512.0,,16.0,512.0,i7-13620h,,16.0,512.0,,False,False,True,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,ASUS,TUF Gaming F15,False,False,18800000.0
Unknown,True,HP,False,Elitebook,Elitebook,16.0,256.0,13.95,16.0,256.0,i7-10610u,,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Elitebook,False,False,7000000.0
Trung Quốc,False,MSI,False,GP Series,GP Series,8.0,127.0,15.95,8.0,,Unknown,,8.0,127.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,0.0,Expired,False,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,MSI,Other,False,True,3800000.0
Unknown,True,Apple,False,MacBook Air,MacBook Air,4.0,,,4.0,,Unknown,,4.0,,,False,True,True,False,True,False,Intel,Mid,False,Integrated - Intel,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Air,False,False,5000000.0
