experiment_type,experiment_name,model_name,target_used,tuning_stage,evaluation_scale,n_features,train_rows,valid_rows,test_rows,train_time_sec,predict_time_sec,best_iteration,valid_mae,valid_rmse,valid_r2,valid_mape,valid_mape_pct,valid_median_ae,valid_max_error,stage_number,stage_best_rank_metric,valid_log_scale_mae,valid_log_scale_rmse,valid_log_scale_r2,valid_log_scale_mape,valid_log_scale_mape_pct,valid_log_scale_median_ae,valid_log_scale_max_error,test_mae,test_rmse,test_r2,test_mape,test_mape_pct,test_median_ae,test_max_error,test_log_scale_mae,test_log_scale_rmse,test_log_scale_r2,test_log_scale_mape,test_log_scale_mape_pct,test_log_scale_median_ae,test_log_scale_max_error
stage_best_result,lgbm_log_3_regularization_0,LightGBM,log_target_price,stage_3_regularization,target_price,86,4377,1459.0,1460,5.331455800002004,0.04890469999736524,2059.0,3.205327962644702,5.533309274198536,0.8694749486604263,0.2743568274668795,27.435682746687952,1.7353642950999166,48.6256752177986,3.0,valid_mae,0.219445189755653,0.29345645281239896,0.8626504298791401,0.10983467064051324,10.983467064051323,0.16889907238261315,1.4919331054870895,,,,,,,,,,,,,,
exploration_result,lgbm_log_4_sampling_randomness_0,LightGBM,log_target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,6.1388861000014,0.05149610000080429,2280.0,3.2039407638157003,5.535093711510932,0.8693907490191416,0.2737479847624987,27.374798476249868,1.7393026211553515,46.24913571577119,,,0.21890046655810705,0.29319659911037055,0.8628935664123305,0.1095369138431991,10.95369138431991,0.16819311404650694,1.5148866613884022,,,,,,,,,,,,,,
exploration_result,lgbm_log_4_sampling_randomness_1,LightGBM,log_target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,5.497407099999691,0.046319699999003205,2059.0,3.205327962644702,5.533309274198536,0.8694749486604263,0.2743568274668795,27.435682746687952,1.7353642950999166,48.6256752177986,,,0.219445189755653,0.29345645281239896,0.8626504298791401,0.10983467064051324,10.983467064051323,0.16889907238261315,1.4919331054870895,,,,,,,,,,,,,,
exploration_result,lgbm_log_4_sampling_randomness_2,LightGBM,log_target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,5.018148799998016,0.03987369999958901,1793.0,3.2189345196318984,5.597665182109192,0.8664211135045221,0.27463906339308314,27.463906339308313,1.7499444975715839,48.526468167701125,,,0.21992105734919667,0.29400612363282247,0.8621354113364206,0.10989870092046318,10.989870092046319,0.1705740592663738,1.4645338220320632,,,,,,,,,,,,,,
exploration_result,lgbm_log_4_sampling_randomness_3,LightGBM,log_target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,4.557769799997914,0.034149499999330146,1590.0,3.23693681939996,5.6438831806241785,0.8642061771560854,0.2752549690339067,27.52549690339067,1.7478265046536183,49.789921988462,,,0.22067915159961218,0.2948143116633144,0.861376422714655,0.11008423051722999,11.008423051722998,0.17016417751314772,1.4746119015647714,,,,,,,,,,,,,,
stage_best_result,lgbm_log_4_sampling_randomness_0,LightGBM,log_target_price,stage_4_sampling_randomness,target_price,86,4377,1459.0,1460,6.1388861000014,0.05149610000080429,2280.0,3.2039407638157003,5.535093711510932,0.8693907490191416,0.2737479847624987,27.374798476249868,1.7393026211553515,46.24913571577119,4.0,valid_mae,0.21890046655810705,0.29319659911037055,0.8628935664123305,0.1095369138431991,10.95369138431991,0.16819311404650694,1.5148866613884022,,,,,,,,,,,,,,
exploration_result,catboost_price_1_learning_rate_iterations_0,CatBoost,target_price,stage_1_learning_rate_iterations,target_price,86,4377,1459.0,1460,1.8106444000004558,0.005608100000245031,486.0,3.2491452352978416,5.284154109130034,0.8809649296780733,0.30657869799869425,30.657869799869424,1.860055867840945,39.75134102393429,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_1_learning_rate_iterations_1,CatBoost,target_price,stage_1_learning_rate_iterations,target_price,86,4377,1459.0,1460,2.6855443000022206,0.005202299998927629,666.0,3.262920607707538,5.298786563850144,0.8803047722214211,0.30885091754220545,30.885091754220547,1.8594694501257791,43.2745979984494,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_1_learning_rate_iterations_2,CatBoost,target_price,stage_1_learning_rate_iterations,target_price,86,4377,1459.0,1460,4.445346500000596,0.004358400001365226,1364.0,3.2467785154265925,5.298080658589191,0.8803366617349402,0.30594993212827054,30.594993212827053,1.857787411439202,40.8593788772709,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,catboost_price_1_learning_rate_iterations_3,CatBoost,target_price,stage_1_learning_rate_iterations,target_price,86,4377,1459.0,1460,8.976115600002231,0.006378199999744538,2993.0,3.2740241985176897,5.306619544655419,0.8799506294770438,0.3098853150742774,30.98853150742774,1.8712959715018904,41.009096566760846,,,,,,,,,,,,,,,,,,,,,,,
