Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name
Msi,Intel Core i7,8750H,8.0,DDR4,HDD + SSD,1152.0,GTX 1060,17.3,36500000,compro.com.vn,37490000,laptopminhha.vn,37990000.0,sanpham.microstar.vn
Msi,Intel Core i7,10870H,32.0,DDR4,SSD,2048.0,RTX3070,15.6,59799000,eaz.com.vn,61300000,compro.com.vn,64990000.0,hoanlong.com.vn
Asus,Intel Core i7,13620H,16.0,DDR5,SSD,1024.0,RTX 4060,15.6,27499000,eaz.com.vn,27650000,hugotech.vn,27690000.0,compro.com.vn
,Intel Core i5,1135G7,8.0,,,,Unknown,14.0,22500000,compro.com.vn,22799000,eaz.com.vn,22990000.0,anp.com.vn
Msi,Intel Core i5,3500H,8.0,DDR5,SSD,1024.0,RTX 3050,15.6,18690000,tymo.vn,18989000,tinhochungphat.com,18999000.0,hacom.vn
Hp,AMD Ryzen 3,7335U,16.0,DDR5,SSD,512.0,AMD Radeon Graphics,16.0,21150000,vitinhmanhphat.com,21800000,laptop123.com.vn,21990000.0,tanhungphatit.vn
Msi,Intel Core i7,1165G7,8.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,21000000,mayvanphongonline.com,21950000,compro.com.vn,21990000.0,saotoancau.com
Hp,Intel Core i7,1165G7,16.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,24570000,compro.com.vn,25400000,hopthanhthinh.com,27290000.0,maytinhdonga.com.vn
Acer,Intel Celeron,N3350,4.0,DDR3L,HDD,500.0,Other GPU,11.6,6050000,compro.com.vn,6190000,anhtaigroup.com,6470000.0,mucindongnai.com
,Intel Core i7,13700HX,32.0,DDR5,,2048.0,RTX 4070,17.0,73300000,hkc.vn,43990000,ngocpc.shop,49990000.0,laptopnew.vn
Msi,Intel Core Ultra 7,255HX,32.0,DDR5,SSD,1024.0,RTX 5070,16.0,31490000,tnc.com.vn,45699000,eaz.com.vn,45890000.0,xgear.net
Hp,Intel Core i5,12500H,8.0,DDR5,SSD,512.0,RTX 3050,16.1,16000000,laptop15.vn,19099000,eaz.com.vn,19990000.0,nguyenvu.store
Dell,Intel Core i7,1165G7,16.0,DDR4,SSD,512.0,Intel Iris Xe,14.5,31599000,eaz.com.vn,33200000,daiphugia.vn,33990000.0,svcvietnam.com.vn
Asus,Intel Core i5,1035G1,8.0,,SSD,512.0,Intel UHD Graphics,13.3,18990000,compro.com.vn,18990000,owlgaming.vn,19290000.0,songphuong.vn
Lenovo,Intel Core i5,1135G7,8.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,20090000,tinhocsangtao.vn,20090000,vitinhsangtao.vn,20800000.0,inktech.vn
Hp,Intel Core Ultra 5,125H,16.0,DDR5,SSD,512.0,Intel Arc Graphics,16.0,29888000,ben.com.vn,22190000,songphuong.vn,25590000.0,laptopworld.vn
Dell,Intel Core i7,11800H,32.0,DDR4,SSD,1024.0,RTX 307,15.6,42500000,vietmob.com,44699000,eaz.com.vn,64000000.0,hugotech.vn
