sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
3893,8.9,23.310091679702364,-14.410091679702363,14.410091679702363,-1.619111424503736,1.619111424503736,2.6191114243913765,Mid,extreme_error,LightGBM,target_price
2882,6.2,16.18869081098513,-9.98869081098513,9.98869081098513,-1.6110791628022665,1.6110791628022665,2.6110791626409755,Mid,extreme_error,LightGBM,target_price
4280,5.6,14.598837781646152,-8.998837781646152,8.998837781646152,-1.606935317864146,1.606935317864146,2.6069353176855743,Low,extreme_error,CatBoost,target_price
5157,1.8,4.687535008974814,-2.8875350089748144,2.8875350089748144,-1.6041861152059045,1.6041861152059045,2.6041861146503487,Low,extreme_error,LightGBM,target_price
737,2.99,7.728836482286903,-4.738836482286903,4.738836482286903,-1.584895144047494,1.584895144047494,2.584895143713046,Low,extreme_error,LightGBM,target_price
5157,1.8,4.63452270178996,-2.83452270178996,2.83452270178996,-1.5747348334529028,1.5747348334529028,2.574734832897347,Low,extreme_error,LightGBM,log_target_price
5123,3.9,10.010778334851535,-6.110778334851535,6.110778334851535,-1.5668662393037611,1.5668662393037611,2.566866239047351,Low,extreme_error,LightGBM,target_price
2354,1.9,4.875724345580968,-2.9757243455809683,2.9757243455809683,-1.5661707073762092,1.5661707073762092,2.5661707068498933,Low,extreme_error,CatBoost,target_price
1406,1.0,2.557869447204835,-1.5578694472048351,1.5578694472048351,-1.5578694456469655,1.5578694456469655,2.5578694446469656,Low,extreme_error,LightGBM,target_price
2354,1.9,4.856537788335773,-2.956537788335773,2.956537788335773,-1.5560725193577372,1.5560725193577372,2.5560725188314213,Low,extreme_error,LightGBM,target_price
3442,5.0,12.688019137483725,-7.688019137483725,7.688019137483725,-1.537603827189224,1.537603827189224,2.537603826989224,Low,extreme_error,LightGBM,target_price
2890,4.39,11.133663351364383,-6.743663351364384,6.743663351364384,-1.5361419931271625,1.5361419931271625,2.536141992899372,Low,extreme_error,LightGBM,target_price
5212,2.5,6.3264529361687085,-3.826452936168709,3.826452936168709,-1.5305811738552508,1.5305811738552508,2.530581173455251,Low,extreme_error,CatBoost,target_price
3907,3.5,8.85009173756936,-5.350091737569359,5.350091737569359,-1.528597638868789,1.528597638868789,2.528597638583075,Low,extreme_error,LightGBM,target_price
426,1.39,3.5014660630889423,-2.111466063088942,2.111466063088942,-1.5190403320646777,1.5190403320646777,2.5190403313452534,Low,extreme_error,LightGBM,target_price
