sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,target_price,log_target_price,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,no_info_condition,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
2650,1.3,5.53061080274178,CatBoost,target_price,-4.23061080274178,4.23061080274178,17.89806776427545,-3.2543159996057414,3.2543159996057414,4.254315998836511,Low,extreme_error,0.0,0.0,0.0,0,0,1,1,1,1.3,0.832909122935104,0,0,1,1,1,0,0,1,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1
2155,2.889,11.683005572594,CatBoost,target_price,-8.794005572594001,8.794005572594001,77.33453401081434,-3.043961775545185,3.043961775545185,4.043961775199044,Low,extreme_error,16.0,1024.0,13.95,0,0,0,0,0,2.889,1.3581520551736102,0,0,0,0,1,1,0,0,0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
4557,3.2,12.67085909206034,CatBoost,target_price,-9.47085909206034,9.47085909206034,89.69717194166202,-2.959643465343968,2.959643465343968,3.9596434650314674,Low,extreme_error,16.0,256.0,13.95,0,0,0,0,0,3.2,1.4350845252893227,0,1,1,1,0,1,0,0,0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2650,1.3,5.039320335621862,LightGBM,target_price,-3.739320335621862,3.739320335621862,13.982516572395197,-2.876400255958047,2.876400255958047,3.876400255188816,Low,extreme_error,0.0,0.0,0.0,0,0,1,1,1,1.3,0.832909122935104,0,0,1,1,1,0,0,1,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1
2155,2.889,10.971570875968087,CatBoost,log_target_price,-8.082570875968088,8.082570875968088,65.32795196504755,-2.797705390505498,2.797705390505498,3.797705390159357,Low,extreme_error,16.0,1024.0,13.95,0,0,0,0,0,2.889,1.3581520551736102,0,0,0,0,1,1,0,0,0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
2415,2.25,8.326844306121803,CatBoost,target_price,-6.076844306121803,6.076844306121803,36.92803672084498,-2.700819690409326,2.700819690409326,3.700819689964881,Low,extreme_error,4.0,640.0,0.0,0,0,0,0,1,2.25,1.1786549963416462,0,1,0,0,1,0,0,1,0,2.0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
1979,1.1,3.985367656952384,LightGBM,log_target_price,-2.885367656952384,2.885367656952384,8.32534651578689,-2.623061503935747,2.623061503935747,3.623061503026656,Low,extreme_error,8.0,128.0,13.95,0,0,0,0,0,1.1,0.7419373447293773,0,0,0,0,0,1,0,0,0,2.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4557,3.2,11.44792021495532,LightGBM,target_price,-8.247920214955318,8.247920214955318,68.02818787226857,-2.577475066368076,2.577475066368076,3.577475066055576,Low,extreme_error,16.0,256.0,13.95,0,0,0,0,0,3.2,1.4350845252893227,0,1,1,1,0,1,0,0,0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3169,2.2,7.864637086064999,LightGBM,log_target_price,-5.664637086064999,5.664637086064999,32.088113316822955,-2.574835037950074,2.574835037950074,3.5748350374955287,Low,extreme_error,16.0,0.0,0.0,0,0,0,1,1,2.2,1.1631508098056809,0,1,0,0,0,0,0,1,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
2794,1.35,4.677972800939047,CatBoost,log_target_price,-3.327972800939047,3.327972800939047,11.075402963790086,-2.465165035906579,2.465165035906579,3.465165035165838,Low,extreme_error,8.0,500.0,0.0,0,0,0,0,1,1.35,0.8544153281560676,0,1,0,0,0,1,0,0,0,2.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
5823,7.29,25.006852879552905,CatBoost,target_price,-17.716852879552906,17.716852879552906,313.88687595572213,-2.4302953192212087,2.4302953192212087,3.4302953190840344,Mid,extreme_error,8.0,256.0,13.3,0,0,0,0,0,7.29,2.115049969147204,0,1,0,0,1,1,0,0,1,2.0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
3817,5.2,17.671508173535642,CatBoost,target_price,-12.471508173535645,12.471508173535645,155.53851612256634,-2.398366955987937,2.398366955987937,3.398366955795629,Low,extreme_error,16.0,1025.0,15.95,0,0,0,0,0,5.2,1.824549292051046,0,0,0,0,0,1,0,0,0,2.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
