sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,cpu_family_ord_filled,cpu_family_group_AMD Ryzen,cpu_family_group_Apple Silicon,cpu_family_group_Intel Core Ultra,cpu_family_group_Intel Core i,cpu_family_group_Intel Low End,cpu_intel_generation_ord,cpu_amd_generation_ord,cpu_apple_core_spec,cpu_qualcomm_snapdragon_spec,cpu_suffix_power_ord_filled,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
1870,LightGBM,target_price,33.0,16.30285694630152,16.69714305369848,16.69714305369848,0.5059740319149244,0.4940259680547726,Premium,severe_error,16.0,512.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6016,LightGBM,target_price,151.89,135.56690776685306,16.323092233146923,16.323092233146923,0.1074665365266933,0.892533463466723,Premium,premium_underprediction,128.0,4096.0,16.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
4693,LightGBM,target_price,29.5,13.216808341566033,16.283191658433967,16.283191658433967,0.551972598572271,0.4480274013938307,Premium,severe_error,16.0,512.0,13.95,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,1
5439,LightGBM,target_price,109.0,124.76755220921294,-15.767552209212935,15.767552209212935,0.14465644228503,1.1446564422758558,Premium,normal,64.0,2048.0,16.2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
3410,LightGBM,target_price,34.0,18.38895934429283,15.611040655707171,15.611040655707171,0.4591482545661183,0.54085174540447,Premium,premium_underprediction,16.0,1024.0,13.95,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6816,LightGBM,target_price,50.709,35.196638795656135,15.512361204343868,15.512361204343868,0.3059094283862422,0.6940905715940374,Premium,premium_underprediction,16.0,2048.0,13.4,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,14,0,0,0,3,0,0,0,1,0
6935,LightGBM,target_price,25.4,40.89827563999817,-15.49827563999817,15.49827563999817,0.6101683322593702,1.61016833222,Premium,severe_error,0.0,1024.0,16.0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,8,0,0,3,4,0,1,0,0
1512,LightGBM,target_price,34.99,19.523443662488862,15.46655633751114,15.46655633751114,0.4420279033172081,0.5579720966542123,Premium,premium_underprediction,16.0,1024.0,15.95,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
5516,LightGBM,target_price,32.0,47.46544682772502,-15.465446827725016,15.465446827725016,0.4832952133513039,1.483295213320054,Premium,moderate_error,32.0,1024.0,15.6,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,10,0,0,0,3,2,0,1,0,0
6915,LightGBM,target_price,25.49,40.89085805730912,-15.40085805730912,15.40085805730912,0.6041921560103933,1.6041921559711625,Premium,severe_error,32.0,1024.0,14.0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,14,0,0,0,3,0,0,0,1,0
