sample_id,feature,feature_group,feature_value,flag,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type
6638,screen_size_inch,screen,18.0,high_extreme_value,87.999,99.81088031055629,-11.81188031055629,11.81188031055629,0.1342274379302272,1.1342274379188635,Premium,normal
6638,gpu_tier_ord_filled,gpu,5.0,high_extreme_value,87.999,99.81088031055629,-11.81188031055629,11.81188031055629,0.1342274379302272,1.1342274379188635,Premium,normal
6638,gpu_tier_ord_filled,gpu,5.0,rare_value,87.999,99.81088031055629,-11.81188031055629,11.81188031055629,0.1342274379302272,1.1342274379188635,Premium,normal
6690,cpu_amd_generation_ord,cpu,6.0,rare_value,60.89,47.33491164604089,13.555088353959114,13.555088353959114,0.2226160018679011,0.7773839981156759,Premium,premium_underprediction
6874,ram_gb,ram,96.0,high_extreme_value,64.89,76.3269329873888,-11.4369329873888,11.4369329873888,0.1762510862569355,1.1762510862415247,Premium,normal
6874,ram_gb,ram,96.0,rare_value,64.89,76.3269329873888,-11.4369329873888,11.4369329873888,0.1762510862569355,1.1762510862415247,Premium,normal
6935,cpu_amd_generation_ord,cpu,8.0,high_extreme_value,25.4,40.89827563999817,-15.49827563999817,15.49827563999817,0.6101683322593702,1.61016833222,Premium,severe_error
6935,cpu_amd_generation_ord,cpu,8.0,rare_value,25.4,40.89827563999817,-15.49827563999817,15.49827563999817,0.6101683322593702,1.61016833222,Premium,severe_error
7069,cpu_amd_generation_ord,cpu,4.0,rare_value,41.599,30.548243992984943,11.050756007015051,11.050756007015051,0.2656495590458762,0.7343504409300848,Premium,premium_underprediction
7244,ram_gb,ram,24.0,rare_value,46.49,33.62322355789141,12.866776442108597,12.866776442108597,0.2767643889402416,0.7232356110382485,Premium,premium_underprediction
